Magnetism	Number	of	times	done
0	-12			
1	-24			
2	-36			
3	-38			
4	-38			
5	-48			
6	-68			
7	-84			
8	-86			
9	-102			
10	-94			
11	-80			
12	-76			
13	-88			
14	-120			
15	-164
16	-198
17	-228
18	-260
19	-292
20	-310
21	-306
22	-308
23	-326
24	-334
25	-352
26	-368
27	-380
28	-398
29	-414
30	-440
31	-476
32	-506
33	-538
34	-564
35	-606
36	-632
37	-668
38	-704
39	-740
40	-780
41	-808
42	-828
43	-836
44	-860
45	-870
46	-878
47	-874
48	-856
49	-824
50	-766
51	-706
52	-644
53	-606
54	-570
55	-540
56	-482
57	-438
58	-396
59	-346
60	-294
61	-252
62	-234
63	-204
64	-180
65	-180
66	-184
67	-180
68	-188
69	-206
70	-220
71	-228
72	-254
73	-288
74	-316
75	-362
76	-412
77	-462
78	-500
79	-530
80	-530
81	-532
82	-522
83	-520
84	-524
85	-514
86	-506
87	-498
88	-474
89	-442
90	-404
91	-388
92	-358
93	-332
94	-320
95	-306
96	-282
97	-274
98	-272
99	-276
100	-278
101	-272
102	-260
103	-256
104	-240
105	-216
106	-186
107	-160
108	-128
109	-114
110	-100
111	-82
112	-76
113	-64
114	-52
115	-24
116	16
117	48
118	84
119	122
120	146
121	178
122	222
123	266
124	318
125	386
126	444
127	482
128	518
129	534
130	556
131	556
132	556
133	548
134	554
135	562
136	566
137	574
138	582
139	590
140	582
141	572
142	556
143	532
144	518
145	504
146	470
147	434
148	406
149	380
150	336
151	270
152	210
153	178
154	164
155	124
156	82
157	56
158	36
159	30
160	4
161	-22
162	-72
163	-112
164	-152
165	-190
166	-218
167	-260
168	-294
169	-330
170	-358
171	-382
172	-426
173	-474
174	-526
175	-562
176	-586
177	-594
178	-584
179	-570
180	-536
181	-512
182	-490
183	-462
184	-432
185	-406
186	-386
187	-378
188	-388
189	-410
190	-434
191	-450
192	-462
193	-472
194	-498
195	-538
196	-590
197	-638
198	-688
199	-732
200	-786
201	-842
202	-892
203	-932
204	-970
205	-1004
206	-1030
207	-1062
208	-1092
209	-1122
210	-1152
211	-1170
212	-1186
213	-1212
214	-1250
215	-1292
216	-1336
217	-1386
218	-1440
219	-1470
220	-1512
221	-1560
222	-1606
223	-1632
224	-1654
225	-1686
226	-1724
227	-1760
228	-1792
229	-1834
230	-1872
231	-1888
232	-1912
233	-1942
234	-1978
235	-2028
236	-2074
237	-2124
238	-2182
239	-2230
240	-2254
